# fir_filter golden reference (per sample) -- generated by fpga/sim/gen_fir_vectors.py
# DO NOT EDIT BY HAND; regenerate instead.
seg_id,index,y
1,0,10
1,1,18
1,2,21
1,3,18
1,4,4
1,5,-23
1,6,-66
1,7,-120
1,8,-176
1,9,-221
1,10,-239
1,11,-222
1,12,-171
1,13,-97
1,14,-28
1,15,0
1,16,-50
1,17,-203
1,18,-464
1,19,-805
1,20,-1170
1,21,-1476
1,22,-1633
1,23,-1557
1,24,-1198
1,25,-549
1,26,338
1,27,1364
1,28,2391
1,29,3265
1,30,3853
1,31,4061
1,32,3853
1,33,3265
1,34,2391
1,35,1364
1,36,338
1,37,-549
1,38,-1198
1,39,-1557
1,40,-1633
1,41,-1476
1,42,-1170
1,43,-805
1,44,-464
1,45,-203
1,46,-50
1,47,0
1,48,-28
1,49,-97
1,50,-171
1,51,-222
1,52,-239
1,53,-221
1,54,-176
1,55,-120
1,56,-66
1,57,-23
1,58,4
1,59,18
1,60,21
1,61,18
1,62,10
1,63,0
1,64,0
1,65,0
1,66,0
1,67,0
1,68,0
1,69,0
1,70,0
1,71,0
1,72,0
1,73,0
1,74,0
1,75,0
1,76,0
1,77,0
1,78,0
1,79,0
1,80,0
1,81,0
1,82,0
1,83,0
1,84,0
1,85,0
1,86,0
1,87,0
1,88,0
1,89,0
1,90,0
1,91,0
1,92,0
1,93,0
1,94,0
1,95,0
2,0,10
2,1,29
2,2,51
2,3,70
2,4,75
2,5,52
2,6,-13
2,7,-133
2,8,-309
2,9,-530
2,10,-769
2,11,-991
2,12,-1162
2,13,-1259
2,14,-1287
2,15,-1287
2,16,-1337
2,17,-1540
2,18,-2004
2,19,-2809
2,20,-3979
2,21,-5455
2,22,-7088
2,23,-8645
2,24,-9843
2,25,-10392
2,26,-10053
2,27,-8688
2,28,-6296
2,29,-3030
2,30,823
2,31,4885
2,32,8739
2,33,12005
2,34,14397
2,35,15762
2,36,16101
2,37,15552
2,38,14354
2,39,12797
2,40,11164
2,41,9688
2,42,8518
2,43,7713
2,44,7249
2,45,7046
2,46,6996
2,47,6996
2,48,6968
2,49,6871
2,50,6700
2,51,6478
2,52,6239
2,53,6018
2,54,5842
2,55,5722
2,56,5656
2,57,5633
2,58,5638
2,59,5657
2,60,5679
2,61,5698
2,62,5709
2,63,5709
2,64,5709
2,65,5709
2,66,5709
2,67,5709
2,68,5709
2,69,5709
2,70,5709
2,71,5709
2,72,5709
2,73,5709
2,74,5709
2,75,5709
2,76,5709
2,77,5709
2,78,5709
2,79,5709
2,80,5709
2,81,5709
2,82,5709
2,83,5709
2,84,5709
2,85,5709
2,86,5709
2,87,5709
2,88,5709
2,89,5709
2,90,5709
2,91,5709
2,92,5709
2,93,5709
2,94,5709
2,95,5709
2,96,5709
2,97,5709
2,98,5709
2,99,5709
2,100,5709
2,101,5709
2,102,5709
2,103,5709
2,104,5709
2,105,5709
2,106,5709
2,107,5709
2,108,5709
2,109,5709
2,110,5709
2,111,5709
2,112,5709
2,113,5709
2,114,5709
2,115,5709
2,116,5709
2,117,5709
2,118,5709
2,119,5709
2,120,5709
2,121,5709
2,122,5709
2,123,5709
2,124,5709
2,125,5709
2,126,5709
2,127,5709
2,128,5709
2,129,5709
2,130,5709
2,131,5709
2,132,5709
2,133,5709
2,134,5709
2,135,5709
2,136,5709
2,137,5709
2,138,5709
2,139,5709
2,140,5709
2,141,5709
2,142,5709
2,143,5709
2,144,5709
2,145,5709
2,146,5709
2,147,5709
2,148,5709
2,149,5709
2,150,5709
2,151,5709
2,152,5709
2,153,5709
2,154,5709
2,155,5709
2,156,5709
2,157,5709
2,158,5709
2,159,5709
2,160,5709
2,161,5709
2,162,5709
2,163,5709
2,164,5709
2,165,5709
2,166,5709
2,167,5709
2,168,5709
2,169,5709
2,170,5709
2,171,5709
2,172,5709
2,173,5709
2,174,5709
2,175,5709
2,176,5709
2,177,5709
2,178,5709
2,179,5709
2,180,5709
2,181,5709
2,182,5709
2,183,5709
2,184,5709
2,185,5709
2,186,5709
2,187,5709
2,188,5709
2,189,5709
2,190,5709
2,191,5709
2,192,5709
2,193,5709
2,194,5709
2,195,5709
2,196,5709
2,197,5709
2,198,5709
2,199,5709
2,200,5709
2,201,5709
2,202,5709
2,203,5709
2,204,5709
2,205,5709
2,206,5709
2,207,5709
2,208,5709
2,209,5709
2,210,5709
2,211,5709
2,212,5709
2,213,5709
2,214,5709
2,215,5709
2,216,5709
2,217,5709
2,218,5709
2,219,5709
2,220,5709
2,221,5709
2,222,5709
2,223,5709
2,224,5709
2,225,5709
2,226,5709
2,227,5709
2,228,5709
2,229,5709
2,230,5709
2,231,5709
2,232,5709
2,233,5709
2,234,5709
2,235,5709
2,236,5709
2,237,5709
2,238,5709
2,239,5709
3,0,-11
3,1,-30
3,2,-52
3,3,-71
3,4,-76
3,5,-53
3,6,13
3,7,133
3,8,309
3,9,530
3,10,769
3,11,991
3,12,1162
3,13,1259
3,14,1287
3,15,1287
3,16,1337
3,17,1540
3,18,2004
3,19,2809
3,20,3979
3,21,5455
3,22,7088
3,23,8645
3,24,9843
3,25,10392
3,26,10053
3,27,8688
3,28,6296
3,29,3030
3,30,-824
3,31,-4886
3,32,-8740
3,33,-12006
3,34,-14398
3,35,-15763
3,36,-16102
